date,asia_open,asia_high,asia_low,asia_close,asia_mid,asia_range,london_open,london_high,london_low,london_close,london_mid,london_range,transition_open,transition_high,transition_low,transition_close,ny_open,ny_high,ny_low,ny_close,asia_range_q33,asia_range_q66,asia_regime,london_sweep,london_mid_tolerance,london_mid_upper,london_mid_lower,transition_vs_london_mid,ny_open_vs_london_mid,variant,first_sweep_side,fail_flag,both_flag,median_penetration
2017-01-25 00:00:00-05:00,5101.1,5103.3,5100.1,5102.6,5101.700000000001,3.199999999999818,5102.6,5115.6,5102.6,5115.1,5109.1,13.0,5114.8,5126.8,5114.1,5125.8,5125.8,5147.2,5122.3,5139.2,5.0,7.533999999999815,Compressed,High,3.25,5112.35,5105.85,Above,Above,Compressed|High|Above|Above,High,0,0,11.099999999999909
2017-01-26 00:00:00-05:00,5156.0,5172.1,5156.0,5168.1,5164.05,16.100000000000364,5168.0,5174.7,5164.7,5166.6,5169.7,10.0,5166.5,5166.8,5158.0,5160.7,5160.8,5169.6,5150.8,5157.2,5.0,7.599999999999454,Expanded,High,2.5,5172.2,5167.2,Below,Below,Expanded|High|Below|Below,Low,0,0,4.0
2017-01-27 00:00:00-05:00,5152.8,5156.3,5150.8,5154.8,5153.55,5.5,5154.8,5160.6,5151.8,5154.1,5156.200000000001,8.800000000000182,5154.3,5169.3,5154.1,5168.8,5169.1,5173.3,5152.1,5164.8,5.0,7.56599999999964,Normal,High,2.2000000000000455,5158.400000000001,5154.000000000001,Within,Above,Normal|High|Within|Above,High,0,0,4.349999999999909
2017-01-30 00:00:00-05:00,5150.8,5157.2,5150.1,5156.9,5153.65,7.099999999999454,5157.2,5160.4,5150.2,5150.4,5155.299999999999,10.199999999999818,5150.4,5153.9,5146.4,5150.9,5151.2,5151.7,5100.7,5122.2,5.0,7.531999999999825,Normal,High,2.5499999999999545,5157.849999999999,5152.749999999999,Below,Below,Normal|High|Below|Below,Low,0,0,26.949999999999818
2017-01-31 00:00:00-05:00,5128.3,5128.5,5112.7,5117.3,5120.6,15.800000000000182,5116.9,5125.8,5113.2,5120.5,5119.5,12.600000000000364,5120.3,5124.8,5109.7,5112.3,5112.2,5118.0,5090.3,5091.1,5.0,7.597999999999465,Expanded,None,3.150000000000091,5122.65,5116.35,Within,Below,Expanded|None|Within|Below,Low,0,0,7.449999999999818
2017-02-01 00:00:00-05:00,5131.4,5137.7,5130.0,5136.7,5133.85,7.699999999999818,5136.7,5146.9,5136.1,5144.4,5141.5,10.799999999999272,5144.1,5156.1,5143.4,5153.4,5153.8,5163.9,5130.1,5135.9,5.0,7.663999999999687,Expanded,High,2.699999999999818,5144.2,5138.8,Within,Above,Expanded|High|Within|Above,High,1,1,10.950000000000728
2017-02-02 00:00:00-05:00,5141.0,5144.5,5126.1,5126.7,5135.3,18.399999999999636,5126.9,5138.2,5126.1,5135.2,5132.15,12.099999999999454,5135.5,5147.3,5134.1,5144.8,5144.6,5164.1,5129.8,5141.1,5.0,7.939999999999876,Expanded,None,3.0249999999998636,5135.174999999999,5129.125,Above,Above,Expanded|None|Above|Above,High,0,0,10.900000000000091
2017-02-03 00:00:00-05:00,5133.5,5133.5,5125.2,5129.2,5129.35,8.300000000000182,5129.0,5147.2,5129.0,5139.7,5138.1,18.199999999999818,5139.5,5155.2,5137.2,5153.1,5153.2,5167.7,5147.7,5152.5,5.0,8.276000000000169,Expanded,High,4.5499999999999545,5142.650000000001,5133.55,Within,Above,Expanded|High|Within|Above,High,0,0,9.300000000000182
2017-02-06 00:00:00-05:00,5153.5,5159.5,5152.8,5157.5,5156.15,6.699999999999818,5157.2,5164.8,5153.7,5163.8,5159.25,11.100000000000364,5163.9,5164.8,5145.7,5151.1,5151.1,5168.8,5148.1,5164.0,5.0,8.072000000000047,Normal,High,2.775000000000091,5162.025,5156.475,Above,Below,Normal|High|Above|Below,Low,1,1,3.199999999999818
2017-02-07 00:00:00-05:00,5163.1,5166.1,5160.0,5165.1,5163.05,6.100000000000364,5165.0,5173.8,5162.7,5172.8,5168.25,11.100000000000364,5172.9,5178.3,5172.8,5177.6,5177.5,5197.5,5173.7,5190.9,5.042000000000026,7.86799999999992,Normal,High,2.775000000000091,5171.025,5165.475,Above,Above,Normal|High|Above|Above,High,0,0,9.900000000000091
