variant,asia_regime,london_sweep,transition_vs_london,ny_open_vs_london,n,first_high_pct,first_low_pct,sweep_both_pct,fail_pct,median_pen_high,median_pen_low,reliability
Expanded|High|Above|Above,Expanded,High,Above,Above,85,92.94,7.06,34.12,34.12,12.0,14.7,Medium
Expanded|High|Within|Below,Expanded,High,Within,Below,66,4.55,95.45,42.42,42.42,10.65,21.35,Medium
Normal|High|Above|Above,Normal,High,Above,Above,66,92.42,7.58,31.82,31.82,11.9,5.85,Medium
Expanded|High|Within|Above,Expanded,High,Within,Above,63,95.24,4.76,36.51,36.51,13.85,9.1,Medium
Compressed|High|Above|Above,Compressed,High,Above,Above,62,93.55,6.45,37.1,37.1,12.25,4.82,Medium
Normal|High|Within|Above,Normal,High,Within,Above,62,95.16,4.84,45.16,45.16,18.75,9.9,Medium
Expanded|Low|Within|Above,Expanded,Low,Within,Above,58,94.83,5.17,29.31,29.31,19.7,18.6,Medium
Expanded|High|Within|Within,Expanded,High,Within,Within,57,52.63,47.37,52.63,52.63,8.2,8.65,Medium
Expanded|Low|Below|Below,Expanded,Low,Below,Below,56,5.36,94.64,23.21,23.21,6.2,23.1,Medium
Compressed|High|Within|Above,Compressed,High,Within,Above,51,94.12,5.88,45.1,45.1,15.98,9.4,Medium
Normal|Low|Within|Above,Normal,Low,Within,Above,47,91.49,8.51,38.3,38.3,9.25,20.32,Low
Expanded|Low|Within|Within,Expanded,Low,Within,Within,46,43.48,56.52,36.96,36.96,15.75,16.17,Low
Compressed|High|Within|Below,Compressed,High,Within,Below,45,2.22,97.78,46.67,46.67,52.7,13.45,Low
Normal|High|Within|Within,Normal,High,Within,Within,43,48.84,51.16,34.88,34.88,17.05,11.9,Low
Normal|Low|Below|Below,Normal,Low,Below,Below,42,2.38,97.62,38.1,38.1,4.3,23.4,Low
Expanded|Low|Within|Below,Expanded,Low,Within,Below,41,9.76,90.24,53.66,53.66,10.9,21.85,Low
Normal|Low|Within|Below,Normal,Low,Within,Below,41,7.32,92.68,36.59,36.59,1.2,20.65,Low
Compressed|Low|Within|Below,Compressed,Low,Within,Below,41,4.88,95.12,29.27,29.27,63.25,23.8,Low
Normal|High|Within|Below,Normal,High,Within,Below,41,9.76,90.24,29.27,29.27,6.77,16.25,Low
Expanded|High|Above|Within,Expanded,High,Above,Within,38,63.16,36.84,31.58,31.58,10.7,10.13,Low
Compressed|Low|Within|Above,Compressed,Low,Within,Above,36,91.67,8.33,58.33,58.33,17.65,8.3,Low
Expanded|None|Within|Above,Expanded,None,Within,Above,36,94.44,5.56,50.0,50.0,21.47,8.38,Low
Expanded|High|Above|Below,Expanded,High,Above,Below,35,5.71,94.29,31.43,31.43,40.42,10.05,Low
Normal|High|Above|Within,Normal,High,Above,Within,34,44.12,55.88,41.18,41.18,11.35,5.65,Low
Normal|High|Below|Below,Normal,High,Below,Below,34,5.88,94.12,44.12,44.12,15.15,11.73,Low
Compressed|Low|Below|Below,Compressed,Low,Below,Below,33,9.09,90.91,24.24,24.24,4.9,15.0,Low
Normal|Low|Within|Within,Normal,Low,Within,Within,32,53.12,46.88,46.88,46.88,5.15,3.55,Low
Compressed|Both|Above|Above,Compressed,Both,Above,Above,32,93.75,6.25,31.25,31.25,28.13,134.15,Low
Expanded|Low|Below|Within,Expanded,Low,Below,Within,31,45.16,54.84,22.58,22.58,22.02,22.05,Low
Expanded|Low|Above|Above,Expanded,Low,Above,Above,29,93.1,6.9,31.03,31.03,41.9,22.8,Low
Expanded|None|Within|Below,Expanded,None,Within,Below,28,0.0,100.0,39.29,39.29,,16.88,Low
Compressed|High|Within|Within,Compressed,High,Within,Within,28,42.86,57.14,46.43,46.43,9.5,6.38,Low
Compressed|Low|Within|Within,Compressed,Low,Within,Within,27,37.04,62.96,44.44,44.44,10.78,4.1,Low
Compressed|High|Above|Within,Compressed,High,Above,Within,27,37.04,62.96,33.33,33.33,6.35,7.6,Low
Compressed|Both|Within|Above,Compressed,Both,Within,Above,25,96.0,4.0,32.0,32.0,16.77,1.7,Low
Compressed|Both|Within|Below,Compressed,Both,Within,Below,25,0.0,100.0,36.0,36.0,,17.7,Low
Normal|Low|Above|Above,Normal,Low,Above,Above,23,95.65,4.35,43.48,43.48,30.5,58.9,Low
Normal|High|Above|Below,Normal,High,Above,Below,22,9.09,90.91,50.0,50.0,18.23,10.85,Low
Compressed|Both|Within|Within,Compressed,Both,Within,Within,21,61.9,38.1,47.62,47.62,14.95,14.95,Low
Expanded|High|Below|Below,Expanded,High,Below,Below,20,0.0,100.0,40.0,40.0,,28.05,Low
Normal|Low|Below|Within,Normal,Low,Below,Within,20,45.0,55.0,40.0,40.0,7.0,5.3,Low
Compressed|Low|Above|Above,Compressed,Low,Above,Above,20,100.0,0.0,30.0,30.0,16.72,,Low
Compressed|Both|Below|Below,Compressed,Both,Below,Below,20,0.0,100.0,25.0,25.0,,33.3,Low
Expanded|None|Above|Above,Expanded,None,Above,Above,19,100.0,0.0,42.11,42.11,14.9,,Low
Normal|Both|Above|Above,Normal,Both,Above,Above,19,94.74,5.26,31.58,31.58,18.9,2.55,Low
Expanded|High|Below|Above,Expanded,High,Below,Above,19,94.74,5.26,42.11,42.11,12.18,52.9,Low
Compressed|Low|Below|Within,Compressed,Low,Below,Within,18,55.56,44.44,44.44,44.44,5.27,24.4,Low
Compressed|High|Above|Below,Compressed,High,Above,Below,16,6.25,93.75,31.25,31.25,10.1,19.8,Low
Compressed|High|Below|Below,Compressed,High,Below,Below,16,0.0,100.0,50.0,50.0,,19.37,Low
Normal|Both|Within|Within,Normal,Both,Within,Within,15,26.67,73.33,20.0,20.0,17.32,31.2,Low
Normal|None|Within|Above,Normal,None,Within,Above,15,100.0,0.0,40.0,40.0,8.55,,Low
Normal|Both|Within|Below,Normal,Both,Within,Below,15,6.67,93.33,6.67,6.67,4.5,67.15,Low
Expanded|Both|Above|Above,Expanded,Both,Above,Above,15,100.0,0.0,26.67,26.67,23.15,,Low
Expanded|Low|Below|Above,Expanded,Low,Below,Above,14,92.86,7.14,35.71,35.71,18.8,2.45,Low
Expanded|Both|Within|Within,Expanded,Both,Within,Within,13,46.15,53.85,15.38,15.38,6.73,22.9,Low
Normal|Both|Below|Below,Normal,Both,Below,Below,13,0.0,100.0,30.77,30.77,,12.25,Low
Normal|Both|Below|Within,Normal,Both,Below,Within,13,38.46,61.54,23.08,23.08,3.7,6.37,Low
